name,serving_size,calories,protein,carbs,fats,sugar,protein_per_calorie,calories_per_protein,date
Pancake and Waffle Syrup,1 ladle-1oz,90,0,24,0,8,0.0,0.0,2025-11-19
Rainbow Sprinkles,1 tbsp,45,0,8,2,5,0.0,0.0,2025-11-19
Oreo Crumbles,1 tbsp,30,0,5,1,3,0.0,0.0,2025-11-19
Whipped Butter,1 tbsp,100,0,0,12,0,0.0,0.0,2025-11-19
Whipped Cream,1 oz portion,90,0,6,6,6,0.0,0.0,2025-11-19
Breakfast Taco Bar,1 plate,0,0,0,0,0,0.0,0.0,2025-11-19
"Diced Potato, Pepper, and Onion Hash",2 ounce,60,0,9,2,0,0.0,0.0,2025-11-19
Pico de Gallo,2 floz,20,0,2,1,1,0.0,0.0,2025-11-19
LIme Crema,1 tbsp,25,0,0,0,0,0.0,0.0,2025-11-19
Diced Onions,2 ounce,25,0,5,0,2,0.0,0.0,2025-11-19
Tater Tots,4 ounce,180,1,22,10,0,0.006,180.0,2025-11-19
Grits,4 ounce,60,1,12,0,0,0.017,60.0,2025-11-19
Paprika Roasted Cauliflower,4 ounce,120,2,5,11,2,0.017,60.0,2025-11-19
"6"" Flour Tortilla",1 each,90,2,14,0,0,0.022,45.0,2025-11-19
Shredded Cheddar Cheese,1 tbsp,30,2,0,0,0,0.067,15.0,2025-11-19
Oreo Crumb Muffins,1 each,250,2,41,9,22,0.008,125.0,2025-11-19
Black Bean Breakfast Bowl,4 ounce,120,3,23,2,0,0.025,40.0,2025-11-19
Oatmeal,4 ounce,80,3,14,0,0,0.037,26.667,2025-11-19
Pumpkin Bread,1 slice,250,3,40,9,20,0.012,83.333,2025-11-19
Pork Sausage Patty,1 each,90,4,0,8,0,0.044,22.5,2025-11-19
Strawberry Smoothie,8 floz,100,4,23,0,15,0.04,25.0,2025-11-19
White Chocolate Raspberry Scone,1 each,390,5,57,15,29,0.013,78.0,2025-11-19
Blueberry Scone,1 each,380,5,57,14,27,0.013,76.0,2025-11-19
Buttermilk Pancakes,2 each,340,8,62,4,12,0.024,42.5,2025-11-19
Cheesy Tofu Fajita Scramble,4 ounce,120,9,4,8,0,0.075,13.333,2025-11-19
Chorizo Sausage,4 ounce,230,11,3,20,0,0.048,20.909,2025-11-19
Scrambled Eggs,4 ounce,200,13,1,15,0,0.065,15.385,2025-11-19
Eggs,4 floz,180,15,1,12,0,0.083,12.0,2025-11-19
Chorizo Style Beef Sausage,1 each,160,15,0,10,0,0.094,10.667,2025-11-19
Vegan Sausage Patty,2 serving(s),260,18,2,20,0,0.069,14.444,2025-11-19
