name,serving_size,calories,protein,carbs,fats,sugar,protein_per_calorie,calories_per_protein,date
Pork Stir Fry Bowl,1 plate,0,0,0,0,0,0.0,0.0,2025-11-19
Mongolian Sweet and Sour Sauce,2 ounce,80,0,4,7,0,0.0,0.0,2025-11-19
Crushed Red Pepper,1 tsp,5,0,1,0,0,0.0,0.0,2025-11-19
Dried Oregano,1 tsp,0,0,0,0,0,0.0,0.0,2025-11-19
Grated Parmesan Cheese,1 tsp,10,0,0,0,0,0.0,0.0,2025-11-19
grilled jalapenos,1 ounce,15,0,3,0,2,0.0,0.0,2025-11-19
Limes,1 wedge,0,0,0,0,0,0.0,0.0,2025-11-19
Fresh Cilantro,1 tbsp,0,0,0,0,0,0.0,0.0,2025-11-19
Pico de Gallo,1 oz portion,5,0,1,0,0,0.0,0.0,2025-11-19
Salsa Roja,1 floz,10,0,2,0,0,0.0,0.0,2025-11-19
Guacamole,1 ounce,40,0,2,0,0,0.0,0.0,2025-11-19
Sour Cream,1 tbsp,30,0,0,3,0,0.0,0.0,2025-11-19
Sliced Jalapeno Pepper,1 tbsp,0,0,0,0,0,0.0,0.0,2025-11-19
Dill Pickle Slices,4 each,0,0,0,0,0,0.0,0.0,2025-11-19
Shoestring French Fries,1/2 cup,80,0,8,0,0,0.0,0.0,2025-11-19
Sliced Tomatoes,1 slice,0,0,0,0,0,0.0,0.0,2025-11-19
"Crackers, Saltine, 2 CT, Zesta",1 each,25,0,5,0,0,0.0,0.0,2025-11-19
Stir Fry Vegetables,1/2 cup,150,1,7,14,4,0.007,150.0,2025-11-19
Chocolate Chip Cookies,1 each,130,1,17,6,10,0.008,130.0,2025-11-19
White Rice,1/2 cup,120,2,23,0,0,0.017,60.0,2025-11-19
Green Beans,1/2 cup,60,2,9,3,4,0.033,30.0,2025-11-19
Garlic Toast,1 slice,80,2,11,3,0,0.025,40.0,2025-11-19
Filipino Garlic Fried Rice,1/2 cup,180,2,28,6,0,0.011,90.0,2025-11-19
White Rice,1/2 cup,120,2,23,0,0,0.017,60.0,2025-11-19
Steamed Broccoli,1/2 cup,30,2,6,0,1,0.067,15.0,2025-11-19
Garlic Toast,1 slice,80,2,11,3,0,0.025,40.0,2025-11-19
Chicken Noodle Soup,4 floz,40,2,5,0,1,0.05,20.0,2025-11-19
Tomato Basil Bisque,4 floz,80,2,10,0,5,0.025,40.0,2025-11-19
Corn,1/2 cup,80,3,19,0,3,0.037,26.667,2025-11-19
Mexican Red Rice,1/2 cup,140,3,24,3,2,0.021,46.667,2025-11-19
Vanilla Cake with Sprinkles,"1 2"" x 2""",270,3,46,9,35,0.011,90.0,2025-11-19
White Hamburger Bun,1 each,150,4,28,2,4,0.027,37.5,2025-11-19
Blonde Brownies,"1 2"" x 2""",330,4,48,13,33,0.012,82.5,2025-11-19
Caribbean Chicken Soup,1 ladle-6oz,70,5,10,0,0,0.071,14.0,2025-11-19
Cuban Black Beans,1/2 cup,90,5,14,0,1,0.056,18.0,2025-11-19
Couscous Salad,1/2 cup,190,5,29,6,0,0.026,38.0,2025-11-19
Jumbo Vegan Chewy Coconut Cookies,4 oz portion,1120,6,150,55,101,0.005,186.667,2025-11-19
Orzo Pasta Salad,1/2 cup,140,6,20,0,2,0.043,23.333,2025-11-19
Cheese Pizza,1 slice,200,8,29,5,2,0.04,25.0,2025-11-19
gochujang tofu,4 ounce,140,9,4,11,2,0.064,15.556,2025-11-19
Pepperoni Pizza,1 slice,210,9,29,7,0,0.043,23.333,2025-11-19
Smoked Sausage,1 each,290,9,2,28,0,0.031,32.222,2025-11-19
Buffalo Chicken Macaroni & Cheese,4 ounce,200,11,20,9,2,0.055,18.182,2025-11-19
Roasted Vegetable Pizza,1 1/8th,320,14,51,7,4,0.044,22.857,2025-11-19
Chicken Pesto Stromboli,1 slice,290,17,31,11,3,0.059,17.059,2025-11-19
Chicken Tender,4 oz meat,250,17,15,13,0,0.068,14.706,2025-11-19
Savannah Meatloaf,6 ounce,290,20,16,16,0,0.069,14.5,2025-11-19
Grilled Chicken Thigh,3 ounce,170,20,0,9,0,0.118,8.5,2025-11-19
Black Bean Burger,1 sandwich,360,22,60,8,6,0.061,16.364,2025-11-19
Shaved Pork,4 ounce,300,24,2,21,0,0.08,12.5,2025-11-19
Sweet and Sour Chicken,1 cup,320,33,34,7,0,0.103,9.697,2025-11-19
