name,serving_size,calories,protein,carbs,fats,sugar,protein_per_calorie,calories_per_protein,date
Spicy Sweet Homemade Barbecue Sauce,2 oz portion,45,0,11,0,8,0.0,0.0,2026-01-17
Crushed Red Pepper,1 tsp,5,0,1,0,0,0.0,0.0,2026-01-17
Dried Oregano,1 tsp,0,0,0,0,0,0.0,0.0,2026-01-17
Grated Parmesan Cheese,1 tsp,10,0,0,0,0,0.0,0.0,2026-01-17
Omelet Bar,1 plate,0,0,0,0,0,0.0,0.0,2026-01-17
Chopped Spinach,1/4 cup,0,0,0,0,0,0.0,0.0,2026-01-17
Chopped Tomatoes,1/4 cup,10,0,2,0,1,0.0,0.0,2026-01-17
Sliced Mushrooms,1/4 cup,0,0,0,0,0,0.0,0.0,2026-01-17
Chopped Green Bell Pepper,1/4 cup,0,0,1,0,0,0.0,0.0,2026-01-17
Diced Onions,1 tbsp,0,0,0,0,0,0.0,0.0,2026-01-17
Syrup,1 floz,90,0,24,0,8,0.0,0.0,2026-01-17
Whipped Butter,1 tbsp,100,0,0,12,0,0.0,0.0,2026-01-17
Rainbow Sprinkles,1 tbsp,45,0,8,2,5,0.0,0.0,2026-01-17
Oreo Crumbles,1 tbsp,30,0,5,1,3,0.0,0.0,2026-01-17
Strawberry Compote,1/4 cup,45,0,11,0,9,0.0,0.0,2026-01-17
Tomato Cucumber Salad,1/2 cup,20,0,4,0,2,0.0,0.0,2026-01-17
"Crackers, Saltine, 2 CT, Zesta",1 each,25,0,5,0,0,0.0,0.0,2026-01-17
Sauteed Mushrooms,2 ounce,35,1,2,3,0,0.029,35.0,2026-01-17
Arroz Rojo,1/2 cup,120,2,18,0,1,0.017,60.0,2026-01-17
Mexican Corn,1/2 cup,80,2,18,0,3,0.025,40.0,2026-01-17
Flour Tortillas,1 each,90,2,14,0,0,0.022,45.0,2026-01-17
Roasted Potatoes,4 ounce,110,2,19,3,1,0.018,55.0,2026-01-17
Shredded Pepper Jack Cheese,1 tbsp,25,2,0,2,0,0.08,12.5,2026-01-17
Whipped Cream Cheese,1 oz portion,100,2,2,10,1,0.02,50.0,2026-01-17
Strawberry Shortcake Cupcake,1 each,320,2,53,12,37,0.006,160.0,2026-01-17
Fried Green Beans,4 ounce,320,3,33,21,3,0.009,106.667,2026-01-17
Shredded Sharp Cheddar Cheese,1 tbsp,60,3,0,0,0,0.05,20.0,2026-01-17
Vegan Brownies,1 serving(s),380,3,52,19,33,0.008,126.667,2026-01-17
Chocolate Cake,1 slice,160,3,27,5,16,0.019,53.333,2026-01-17
Buttermilk Pancakes,2 each,170,4,33,0,6,0.024,42.5,2026-01-17
Pinto Beans,1/2 cup,100,5,16,2,2,0.05,20.0,2026-01-17
Clam Chowder,8 floz,230,5,18,13,1,0.022,46.0,2026-01-17
Eggs,1/4 cup,90,7,0,6,0,0.078,12.857,2026-01-17
Egg Whites,1/4 cup,30,7,0,0,0,0.233,4.286,2026-01-17
Turkey Sausage Patty,1 each,60,7,0,0,0,0.117,8.571,2026-01-17
Oatmeal Raisin Cookies,3 ounce,320,7,50,11,0,0.022,45.714,2026-01-17
Chickpea Salad,4 ounce,260,7,21,17,4,0.027,37.143,2026-01-17
Cheese Pizza,1 slice,200,8,29,5,2,0.04,25.0,2026-01-17
Cumin Roasted Tofu,4 ounce,170,9,3,15,0,0.053,18.889,2026-01-17
Diced Smoked Ham,1/4 cup,60,9,0,0,0,0.15,6.667,2026-01-17
Roasted Vegetable Pizza,1 1/8th,320,14,51,7,4,0.044,22.857,2026-01-17
Churrasco Pork,3 oz meat,230,21,1,15,0,0.091,10.952,2026-01-17
Mop Sauce Chicken Thigh,4 ounce,270,22,8,17,4,0.081,12.273,2026-01-17
Sausage Pizza,1 slice,500,22,61,18,3,0.044,22.727,2026-01-17
