name,serving_size,calories,protein,carbs,fats,sugar,protein_per_calorie,calories_per_protein,date
Pancake and Waffle Syrup,1 ladle-1oz,90,0,24,0,8,0.0,0.0,2025-11-19
Rainbow Sprinkles,1 tbsp,45,0,8,2,5,0.0,0.0,2025-11-19
Oreo Crumbles,1 tbsp,30,0,5,1,3,0.0,0.0,2025-11-19
Whipped Butter,1 tbsp,100,0,0,12,0,0.0,0.0,2025-11-19
Whipped Cream,2 oz portion,170,0,11,11,11,0.0,0.0,2025-11-19
Cubed Pineapple,1/2 cup,40,0,11,0,8,0.0,0.0,2025-11-19
Cubed Cantaloupe,1/2 cup,25,0,7,0,6,0.0,0.0,2025-11-19
Cubed Honeydew,1/2 cup,30,0,8,0,7,0.0,0.0,2025-11-19
Tri Color Grapes,1/2 cup,50,0,14,0,0,0.0,0.0,2025-11-19
Cream Cheese,1 tbsp,50,0,0,5,0,0.0,0.0,2025-11-19
Strawberry Jelly Preserves,1 tbsp,50,0,13,0,12,0.0,0.0,2025-11-19
Grape Jelly,1 tbsp,50,0,13,0,12,0.0,0.0,2025-11-19
Omelet Bar,1 plate,0,0,0,0,0,0.0,0.0,2025-11-19
Chopped Spinach,1 ounce,5,0,1,0,0,0.0,0.0,2025-11-19
Chopped Broccoli,1 ounce,10,0,2,0,0,0.0,0.0,2025-11-19
Chopped Tomatoes,1 tbsp,0,0,0,0,0,0.0,0.0,2025-11-19
Diced Onions,1 tbsp,0,0,0,0,0,0.0,0.0,2025-11-19
Sliced Mushrooms,1 tbsp,0,0,0,0,0,0.0,0.0,2025-11-19
Chopped Green Bell Pepper,1 tbsp,0,0,0,0,0,0.0,0.0,2025-11-19
Sweet Potato Hash with Peppers,3-1/2 ounce,100,1,13,5,4,0.01,100.0,2025-11-19
Low-Fat Blueberry Yogurt,1/4 cup,35,1,7,0,5,0.029,35.0,2025-11-19
Crispy Hashbrowns,1/2 cup,100,2,19,0,1,0.02,50.0,2025-11-19
Steamed Green Beans,1/2 cup,80,2,7,6,3,0.025,40.0,2025-11-19
strawberry cream cheese,2 tbsp,110,2,5,10,4,0.018,55.0,2025-11-19
Chive Cream Cheese,1 ounce,90,2,2,9,1,0.022,45.0,2025-11-19
Grits,1 ladle-6oz,100,2,22,0,0,0.02,50.0,2025-11-19
"Oatmeal Cookie, Keebler",1 each,130,2,19,6,9,0.015,65.0,2025-11-19
Apple Spice Muffin,2 oz portion,210,2,36,7,19,0.01,105.0,2025-11-19
Mini Maple Pecan Plait Danish,1 each,180,2,17,11,8,0.011,90.0,2025-11-19
Oreo Crumb Muffins,3 ounce,290,2,47,10,25,0.007,145.0,2025-11-19
Shredded Cheddar Cheese,1 tbsp,30,2,0,0,0,0.067,15.0,2025-11-19
Simple Sauteed Spinach,1/2 cup,70,3,4,5,0,0.043,23.333,2025-11-19
Mini Chocolate Croissant,1 each,160,3,18,9,6,0.019,53.333,2025-11-19
Buttermilk Pancakes,1 each,170,4,31,2,6,0.024,42.5,2025-11-19
"Peanut Butter, .75 oz, Jif",1 each,120,4,5,10,2,0.033,30.0,2025-11-19
Diced Smoked Ham,2 tbsp,30,4,0,0,0,0.133,7.5,2025-11-19
Oatmeal,1 ladle-6oz,140,5,24,3,0,0.036,28.0,2025-11-19
Blueberry Scone,1 each,380,5,57,14,27,0.013,76.0,2025-11-19
Eggs Your Way,1 each,60,6,0,4,0,0.1,10.0,2025-11-19
Diced Turkey Breast,1/4 cup,30,6,0,2,0,0.2,5.0,2025-11-19
Salted Caramel French Toast Casserole,1/2 cup,420,8,75,10,52,0.019,52.5,2025-11-19
Meatless Vegetarian Sausage Patty,1 each,70,9,4,0,0,0.129,7.778,2025-11-19
Egg Whites,3 floz,45,10,0,0,0,0.222,4.5,2025-11-19
2% Greek Plain Yogurt,1/2 cup,90,11,5,0,5,0.122,8.182,2025-11-19
Eggs,3 floz,130,11,0,9,0,0.085,11.818,2025-11-19
Maple Smoked Beef and Pork Sausage,4 ounce,400,12,10,34,6,0.03,33.333,2025-11-19
Scrambled Eggs,1/2 cup,210,14,1,16,0,0.067,15.0,2025-11-19
Chorizo Style Pork Sausage,1 each,160,14,0,11,0,0.087,11.429,2025-11-19
Cottage Cheese,1/2 cup,80,14,3,1,3,0.175,5.714,2025-11-19
Strawberry Mango Smoothie,20 floz,400,47,46,3,38,0.117,8.511,2025-11-19
