name,serving_size,calories,protein,carbs,fats,sugar,protein_per_calorie,calories_per_protein,date
Veggie Power Bowl,1 plate,0,0,0,0,0,0.0,0.0,2025-11-19
Chimichurri Sauce,2 floz,170,0,3,18,0,0.0,0.0,2025-11-19
Julienne Yellow Onions,1/4 cup,10,0,3,0,1,0.0,0.0,2025-11-19
Sliced Mushrooms,1/4 cup,0,0,0,0,0,0.0,0.0,2025-11-19
Sliced Green Bell Pepper,1/4 cup,0,0,1,0,0,0.0,0.0,2025-11-19
Shredded Carrots,1/4 cup,10,0,3,0,1,0.0,0.0,2025-11-19
Baby Spinach,1/4 cup,0,0,0,0,0,0.0,0.0,2025-11-19
Fresh Thai Basil,1 tbsp,0,0,0,0,0,0.0,0.0,2025-11-19
Chopped Green Onions,1 tbsp,0,0,0,0,0,0.0,0.0,2025-11-19
Grated Ginger Root,1 tsp,0,0,0,0,0,0.0,0.0,2025-11-19
Fresh Chopped Garlic,1 tsp,0,0,0,0,0,0.0,0.0,2025-11-19
General Tso's Sauce,1 floz,60,0,16,0,14,0.0,0.0,2025-11-19
Sesame Seed Mix,1/2 tsp,10,0,0,1,0,0.0,0.0,2025-11-19
Crushed Red Pepper,1/2 tsp,0,0,0,0,0,0.0,0.0,2025-11-19
Grilled Zucchini & Squash,1/2 cup,10,0,2,0,2,0.0,0.0,2025-11-19
Lettuce Leaf,1 each,0,0,0,0,0,0.0,0.0,2025-11-19
Sliced Tomatoes,1 slice,0,0,0,0,0,0.0,0.0,2025-11-19
Sliced Red Onion,1/4 cup,10,0,3,0,1,0.0,0.0,2025-11-19
Dill Pickle Slices,4 each,0,0,0,0,0,0.0,0.0,2025-11-19
Dill Pickle Slices,2 each,0,0,0,0,0,0.0,0.0,2025-11-19
Lettuce Leaf,1 each,0,0,0,0,0,0.0,0.0,2025-11-19
Sliced Tomatoes,2 slice,0,0,1,0,0,0.0,0.0,2025-11-19
Sliced Red Onion,1 slice,5,0,1,0,0,0.0,0.0,2025-11-19
Sliced Banana Peppers,1 ounce,0,0,0,0,0,0.0,0.0,2025-11-19
Sliced Cucumber,1/4 cup,0,0,0,0,0,0.0,0.0,2025-11-19
Sliced Green Bell Pepper,1/4 cup,0,0,1,0,0,0.0,0.0,2025-11-19
Pesto Mayo,1 oz portion,180,0,0,20,0,0.0,0.0,2025-11-19
Horseradish Mayo,2 tbsp,110,0,3,11,0,0.0,0.0,2025-11-19
Diced Onions,1/4 cup,15,0,4,0,2,0.0,0.0,2025-11-19
